magnitude,date,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
6.7,2018-10-13,0,3,green,1,691,us,0,2.705,17,mww,461,52.8549,153.243,"Ozernovskiy, Russia",,
6.5,2018-10-10,0,4,green,1,650,us,0,3.923,14,mww,20,49.2902,156.297,"Severo-Kuril’sk, Russia",,
7,2018-10-10,6,6,green,1,758,us,0,1.778,18,mww,39,-5.7012,151.205,"Kimbe, Papua New Guinea",,Papua New Guinea
6.7,2018-09-30,2,3,green,1,691,us,0,3.745,23,mww,550,-18.3604,-178.063,"Levuka, Fiji",,Fiji
7.5,2018-09-28,8,8,red,0,2026,us,0,1.649,13,mww,20,-0.2559,119.846,"Palu, Indonesia",,Indonesia
6.5,2018-09-16,4,1,green,0,651,us,0,5.139,18,mww,576,-25.415,178.199,the Fiji Islands,,
6.9,2018-09-10,3,4,green,0,735,us,0,2.785,18,mww,115,-31.7447,-179.373,Kermadec Islands region,,
6.5,2018-09-09,3,6,green,1,651,us,0,1.638,25,mww,68,-10.0207,161.503,"Kirakira, Solomon Islands",,Solomon Islands
7.9,2018-09-06,7,4,green,1,979,us,0,1.431,12,mww,670.81,-18.4743,179.35,"Levuka, Fiji",,Fiji
6.6,2018-09-05,8,9,orange,1,1075,us,0,1.13,32,mww,35,42.6861,141.929,"Chitose, Japan",Asia,Japan
7.1,2018-08-29,2,5,green,1,776,us,0,2.548,23,mww,21.43,-22.0295,170.126,"Tadine, New Caledonia",,
7.1,2018-08-24,0,3,green,0,776,us,0,3.77,12,mww,630,-11.0355,-70.8284,"Iñapari, Peru",South America,Peru
6.5,2018-08-21,6,7,green,1,652,us,0,4.797,10,mww,9,-16.0315,168.143,"Lakatoro, Vanuatu",,Vanuatu
7.3,2018-08-21,8,6,yellow,1,1570,us,0,1.822,15,mww,146.82,10.7731,-62.9019,"Carúpano, Venezuela",,Venezuela
6.9,2018-08-19,7,7,green,0,1206,us,0,2.453,31,mww,21,-8.319,116.627,"Labuan Lombok, Indonesia",,Indonesia
8.2,2018-08-19,5,4,green,1,1050,us,0,3.63,13,mww,600,-18.1125,-178.153,"Levuka, Fiji",,Fiji
6.5,2018-08-17,5,3,green,0,743,us,0,2.719,23,mww,529,-7.3718,119.802,"Labuan Bajo, Indonesia",,Indonesia
6.5,2018-08-15,6,6,green,1,655,us,0,0.576,22,mww,33.93,51.4234,-178.026,"Adak, Alaska",North America,United States of America
6.9,2018-08-05,9,8,orange,0,1704,us,0,2.271,15,mww,34,-8.2581,116.438,"Labuan Lombok, Indonesia",,Indonesia
6.9,2018-05-04,7,8,yellow,1,1392,hv,63,0.11,210,mw,5.81,19.3182,-155,"Leilani Estates, Hawaii",,United States of America
6.8,2018-04-02,5,3,green,0,733,us,0,5.32,16,mww,559,-20.6588,-63.0058,"Boyuibe, Bolivia",South America,Bolivia
6.9,2018-03-29,9,6,green,1,741,us,0,1.487,18,mww,35,-5.5321,151.5,"Kimbe, Papua New Guinea",,Papua New Guinea
6.7,2018-03-26,5,6,green,1,696,us,0,1.507,15,mww,40,-5.5024,151.402,"Kimbe, Papua New Guinea",,Papua New Guinea
6.8,2018-03-08,6,6,green,1,719,us,0,1.049,16,mww,22.86,-4.3762,153.2,"Kokopo, Papua New Guinea",,Papua New Guinea
6.7,2018-03-06,8,7,green,1,697,us,0,5.457,19,mww,20.49,-6.3043,142.612,"Tari, Papua New Guinea",,Papua New Guinea
7.5,2018-02-25,9,8,yellow,1,943,us,0,5.48,17,mww,25.21,-6.0699,142.754,"Tari, Papua New Guinea",,Papua New Guinea
7.2,2018-02-16,7,7,yellow,1,1384,us,0,0.142,82,mww,22,16.3855,-97.9787,"Pinotepa de Don Luis, Mexico",North America,Mexico
7.9,2018-01-23,9,4,green,1,1870,us,0,2.585,30,mww,14.06,56.0039,-149.166,"Chiniak, Alaska",,
7.1,2018-01-14,9,7,green,1,1075,us,0,4.29,23,mww,39,-15.7675,-74.7092,"Atiquipa, Peru",,Peru
7.5,2018-01-10,8,5,green,1,1623,us,0,4.581,12,mww,19,17.4825,-83.52,"Barra Patuca, Honduras",,
6.5,2017-12-15,8,7,green,0,998,us,0,2.365,28,mww,90,-7.4921,108.174,"Kawalu, Indonesia",,Indonesia
6.5,2017-12-13,1,5,green,1,651,us,0,17.654,23,mww,17,-54.2189,2.1628,Bouvet Island region,,
7,2017-11-19,4,6,green,1,771,us,0,0.617,14,mww,10,-21.3246,168.671,"Tadine, New Caledonia",,
6.6,2017-11-19,4,5,green,1,676,us,0,0.529,21,mww,13,-21.5027,168.598,"Tadine, New Caledonia",,
6.5,2017-11-13,8,8,yellow,1,1153,us,0,0.225,37,mww,19.36,9.5147,-84.4865,"Parrita, Costa Rica",,Costa Rica
7.3,2017-11-12,8,9,red,0,2790,us,0,0.284,33,mww,19,34.9109,45.9592,"?alabja, Iraq",Asia,Iran
6.5,2017-11-07,6,5,green,1,661,us,0,4.449,10,mww,110.57,-4.2433,143.485,"Angoram, Papua New Guinea",,Papua New Guinea
6.8,2017-11-04,5,5,green,1,727,us,0,4.852,21,mww,10,-15.3197,-173.168,"Hihifo, Tonga",,
6.6,2017-11-01,3,5,green,1,674,us,0,0.788,29,mww,22,-21.6484,168.859,"Tadine, New Caledonia",,
6.7,2017-10-31,3,4,green,1,691,us,0,1.062,55,mww,24,-21.6971,169.148,"Tadine, New Caledonia",,
6.7,2017-10-24,3,3,green,0,694,us,0,1.634,16,mww,553.81,-7.2168,123.074,"Maumere, Indonesia",,Indonesia
6.5,2017-10-08,3,5,green,1,651,us,0,1.154,11,mww,119,52.3909,176.769,"Attu Station, Alaska",North America,
7.1,2017-09-19,9,8,,0,1686,us,0,0.984,23,mww,48,18.5499,-98.4887,"Matzaco, Mexico",North America,Mexico
8.2,2017-09-08,9,7,red,1,2910,us,0,0.944,22,mww,47.39,15.0222,-93.8993,"Chiapas, Mexico",,
6.5,2017-08-08,5,7,yellow,0,707,us,0,11.411,22,mww,9,33.1926,103.855,"Mawu, China",Asia,People's Republic of China
6.6,2017-07-20,7,7,yellow,0,1064,us,0,0.913,16,mww,7,36.9293,27.4139,"Kos, Greece",Asia,Turkey
7.7,2017-07-17,8,7,green,1,918,us,0,3.564,13,mww,10,54.4434,168.857,"Komandorskiye Ostrova, Russia region",,
6.6,2017-07-11,5,4,green,1,704,us,0,3.773,37,mww,10,-49.4837,164.016,"Auckland Islands, New Zealand region",,
6.5,2017-07-06,9,8,yellow,1,740,us,0,4.139,30,mww,9,11.1269,124.629,"Lim-oo, Philippines",,Philippines
6.8,2017-06-22,6,6,yellow,1,1034,us,0,1.065,38,mww,38.12,13.7174,-90.9718,"Puerto San José, Guatemala",,
6.9,2017-06-14,8,6,yellow,1,1188,us,0,0.247,35,mww,93,14.9091,-92.0092,"San Pablo, Guatemala",,Guatemala
6.8,2017-06-02,0,4,green,1,711,us,0,2.308,12,mww,5,54.0312,170.92,"Attu Station, Alaska",,
6.6,2017-05-29,7,7,green,0,678,us,0,2.353,18,mww,12,-1.2923,120.431,"Poso, Indonesia",,Indonesia
6.5,2017-05-10,0,4,green,1,650,us,0,6.489,17,mww,15,-56.414,-25.7432,South Sandwich Islands region,,
6.8,2017-05-09,6,5,green,1,713,us,0,7.495,19,mww,169,-14.5884,167.377,"Port-Olry, Vanuatu",,Vanuatu
6.9,2017-04-28,9,6,green,1,814,us,0,1.636,14,mww,26,5.5043,125.066,"Burias, Philippines",,Philippines
6.9,2017-04-24,9,7,yellow,1,1642,us,0,0.356,39,mww,28,-33.0375,-72.0617,"Valparaíso, Chile",,
6.5,2017-04-03,7,8,green,0,1297,us,0,2.36,15,mww,29,-22.6784,25.1558,"Moijabana, Botswana",Africa,Botswana
6.6,2017-03-29,6,7,yellow,1,671,us,0,4.591,14,mww,17,56.9401,162.786,"Ust’-Kamchatsk Staryy, Russia",Asia,Russia
6.9,2017-02-24,2,3,green,1,733,us,0,6.012,19,mww,414.5,-23.2593,-178.804,the Fiji Islands,,
6.5,2017-02-21,3,3,green,0,653,us,0,4.242,14,mww,595.98,-19.2814,-63.9047,"Padilla, Bolivia",South America,Bolivia
6.5,2017-02-10,8,7,yellow,1,718,us,0,2.822,36,mww,15,9.9071,125.452,"Mabua, Philippines",,Philippines
7.9,2017-01-22,9,7,yellow,1,987,us,0,3.625,9,mww,135,-6.2464,155.172,"Panguna, Papua New Guinea",,Papua New Guinea
6.5,2017-01-19,6,6,green,1,654,us,0,1.64,21,mww,36,-10.3506,161.335,"Kirakira, Solomon Islands",,Solomon Islands
7.3,2017-01-10,6,3,green,1,849,us,0,3.813,18,mww,627.17,4.4782,122.617,"Tabiauan, Philippines",,
6.9,2017-01-03,6,4,green,1,742,us,0,2.495,13,mww,12,-19.3733,176.052,"Nadi, Fiji",,
7.6,2016-12-25,9,8,yellow,1,1152,us,0,0.355,29,mww,38,-43.4064,-73.9413,"Quellón, Chile",South America,Chile
6.7,2016-12-21,5,5,green,0,726,us,0,3.38,17,mww,152,-7.5082,127.921,"Lospalos, Timor Leste",,Indonesia
7.9,2016-12-17,9,7,yellow,1,972,us,0,1.389,13,mww,94.54,-4.5049,153.522,"Kokopo, Papua New Guinea",,Papua New Guinea
6.9,2016-12-09,8,6,green,1,737,us,0,1.747,26,mww,19.73,-10.749,161.132,"Kirakira, Solomon Islands",,
6.5,2016-12-08,0,5,green,0,650,us,0,1.937,18,mww,12.26,-10.8416,161.314,"Kirakira, Solomon Islands",,
7.8,2016-12-08,9,8,green,1,961,us,0,1.836,13,mww,40,-10.6812,161.327,"Kirakira, Solomon Islands",,Solomon Islands
6.6,2016-12-08,5,4,green,1,1120,us,0,1.405,55,mww,8.45,40.4535,-126.194,"Ferndale, California",,
6.5,2016-12-06,9,8,yellow,0,731,us,0,0.778,27,mww,13,5.2834,96.1678,"Reuleuet, Indonesia",,Indonesia
6.6,2016-11-25,8,7,green,0,693,us,0,1.697,20,mww,17,39.2732,73.9776,"Murghob, Tajikistan",Asia,People's Republic of China
6.9,2016-11-24,5,4,green,1,855,us,0,1.796,20,mww,10,11.9097,-88.8968,"Puerto El Triunfo, El Salvador",,
6.9,2016-11-21,9,6,green,1,1144,us,0,0.671,10,mww,9,37.3931,141.387,"Namie, Japan",Asia,
6.5,2016-11-14,7,7,yellow,1,664,us,0,0.283,56,mww,9,-42.6058,173.254,"Amberley, New Zealand",,New Zealand
6.5,2016-11-13,6,7,yellow,1,656,us,0,0.135,58,mww,10,-42.3205,173.669,"Blenheim, New Zealand",,New Zealand
7.8,2016-11-13,9,9,orange,1,1545,us,0,0.481,21,mww,15.11,-42.7373,173.054,"Amberley, New Zealand",,New Zealand
6.6,2016-10-30,9,8,red,0,2840,us,0,0.174,25,mww,8,42.8621,13.0961,"Preci, Italy",Europe,Italy
6.6,2016-10-19,3,3,green,0,677,us,0,2.022,16,mww,614,-4.8626,108.163,"Pamanukan, Indonesia",,Indonesia
6.8,2016-10-17,3,6,green,1,716,us,0,3.727,11,mww,42,-6.0033,148.887,"Kandrian, Papua New Guinea",,Papua New Guinea
6.9,2016-09-24,2,3,green,1,733,us,0,4.051,9,mww,596.4,-19.7819,-178.244,Fiji region,,Fiji
7,2016-09-01,5,6,green,1,897,us,0,0.698,21,mww,19,-37.3586,179.146,"Gisborne, New Zealand",,
6.8,2016-08-31,4,3,green,1,713,us,0,0.803,12,mww,476,-3.6849,152.792,"Rabaul, Papua New Guinea",,Papua New Guinea
6.8,2016-08-24,6,6,yellow,0,981,us,0,1.802,17,mww,82,20.9228,94.569,"Chauk, Myanmar",Asia,Myanmar
7.2,2016-08-12,6,5,green,1,799,us,0,4.823,14,mww,16.37,-22.4765,173.117,the Loyalty Islands,,
7.7,2016-07-29,5,6,green,1,971,us,0,3.294,14,mww,196,18.5429,145.507,"Pagan region, Northern Mariana Islands",,
6.6,2016-06-01,4,6,green,0,671,us,0,2.435,16,mww,50,-2.0967,100.665,"Sungai Penuh, Indonesia",,Indonesia
7.2,2016-05-28,1,6,green,1,798,us,0,5.803,24,mww,78,-56.2409,-26.9353,South Sandwich Islands region,,
6.9,2016-05-28,3,3,green,1,733,us,0,5.485,19,mww,405.69,-21.9724,-178.204,,,
6.9,2016-05-18,8,7,green,1,780,us,0,1.192,17,mww,29.95,0.4947,-79.616,"Rosa Zarate, Ecuador",South America,Ecuador
6.7,2016-05-18,5,7,green,1,744,us,0,1.352,21,mww,16,0.4261,-79.7899,"Muisne, Ecuador",South America,Ecuador
7,2016-04-28,7,7,green,1,755,us,0,0.616,14,mww,24,-16.0429,167.379,"Norsup, Vanuatu",,Vanuatu
7.8,2016-04-16,9,9,orange,1,1163,us,0,1.44,15,mww,20.59,0.3819,-79.9218,"Muisne, Ecuador",South America,Ecuador
7,2016-04-15,9,9,red,1,2074,us,0,0.349,32,mww,10,32.7906,130.754,"Kumamoto, Japan",Asia,Japan
6.9,2016-04-13,6,6,yellow,0,903,us,0,3.001,14,mww,136,23.0944,94.8654,"Mawlaik, Myanmar",Asia,Myanmar
6.6,2016-04-10,6,4,green,0,738,us,0,0.789,17,mww,212,36.4725,71.1311,"Ashkasham, Afghanistan",Asia,Afghanistan
6.7,2016-04-07,7,5,green,1,692,us,0,6.787,25,mww,27.59,-13.9805,166.594,"Sola, Vanuatu",,Vanuatu
6.7,2016-04-06,7,6,green,1,691,us,0,6.697,19,mww,24,-14.0683,166.624,"Sola, Vanuatu",,Vanuatu
6.9,2016-04-03,7,6,green,1,734,us,0,1.166,25,mww,26,-14.3235,166.855,"Port-Olry, Vanuatu",,Vanuatu
7.8,2016-03-02,4,3,green,0,948,us,0,7.009,20,mww,24,-4.9521,94.3299,"Sumatra, Indonesia",,
7.2,2016-01-30,3,7,green,1,799,us,0,0.958,17,mww,177,53.9776,158.546,"Mil’kovo, Russia",Asia,Russia
7.1,2016-01-24,7,7,green,1,1496,ak,0,0,0,mw,125.6,59.6204,-153.339,"Pedro Bay, Alaska",North America,United States of America
6.6,2016-01-21,3,4,green,1,673,us,0,2.413,74,mww,10,18.8239,-106.934,"La Cruz de Loreto, Mexico",,
6.7,2016-01-14,5,6,green,1,717,us,0,0.281,22,mww,46,41.9723,142.781,"Shizunai-furukawacho, Japan",Asia,Japan
6.5,2016-01-11,3,6,green,1,651,us,0,3.144,22,mww,13,3.8965,126.862,"Sarangani, Philippines",,Indonesia
6.7,2016-01-03,8,7,orange,0,1515,us,0,1.794,16,mww,55,24.8036,93.6505,"Imphal, India",Asia,India
6.6,2015-12-17,8,6,green,1,765,us,0,0.41,35,mww,85,15.8015,-93.633,"Manuel Ávila Camacho (Ponte Duro), Mexico",,Mexico
6.9,2015-12-09,8,5,green,0,738,us,0,2.979,14,mww,21,-4.1064,129.508,"Amahai, Indonesia",,Indonesia
7.2,2015-12-07,4,7,green,0,827,us,0,1.116,18,mww,22,38.2107,72.7797,"Murghob, Tajikistan",Asia,Tajikistan
6.7,2015-11-26,2,3,green,0,691,us,0,2.033,19,mww,602.75,-9.1825,-71.2574,"Tarauacá, Brazil",South America,Brazil
7.6,2015-11-24,5,4,green,0,896,us,0,2.852,10,mww,620.56,-10.0598,-71.0184,"Iñapari, Peru",South America,Peru
7.6,2015-11-24,6,5,green,1,957,us,0,3.287,10,mww,606.21,-10.5372,-70.9437,"Iñapari, Peru",South America,Peru
6.8,2015-11-18,5,6,green,1,715,us,0,1.599,19,mww,12.59,-8.8994,158.422,"Buala, Solomon Islands",,Solomon Islands
6.5,2015-11-17,7,7,orange,0,1018,us,0,0,0,mww,11,38.67,20.6,"Lefkáda, Greece",Europe,Greece
6.7,2015-11-13,5,4,green,0,702,us,0,1.444,17,mww,12,31.0009,128.873,"Makurazaki, Japan",,
6.9,2015-11-11,5,6,green,0,744,us,0,0.821,43,mww,10,-29.5097,-72.0585,"Coquimbo, Chile",,
6.9,2015-11-11,6,6,green,1,761,us,0,0.784,32,mww,12,-29.5067,-72.0068,"Coquimbo, Chile",,
6.6,2015-11-08,7,4,green,0,675,us,0,2.792,31,mww,10,6.8431,94.648,"Nicobar Islands, India region",,
6.8,2015-11-07,7,7,green,1,841,us,0,0.258,41,mww,46,-30.8796,-71.4519,"Ovalle, Chile",South America,Chile
6.5,2015-11-04,5,7,green,0,657,us,0,1.53,21,mww,20,-8.3381,124.875,"Maubara, Timor Leste",,Indonesia
7.5,2015-10-26,8,7,orange,0,1448,us,0,0.622,18,mww,231,36.5244,70.3676,"Hindu Kush region, Afghanistan",Asia,Afghanistan
7.1,2015-10-20,6,6,green,1,780,us,0,0.592,11,mww,135,-14.8595,167.303,"Port-Olry, Vanuatu",,Vanuatu
6.6,2015-09-24,7,7,green,0,671,us,0,2.486,13,mww,18,-0.6212,131.262,"Sorong, Indonesia",,Indonesia
6.6,2015-09-21,5,7,green,1,820,us,0,1.064,14,mww,35,-31.7275,-71.3792,"Illapel, Chile",South America,Chile
6.7,2015-09-17,5,7,green,0,718,us,0,0.853,35,mww,23,-31.5173,-71.804,"Illapel, Chile",,Chile
6.5,2015-09-17,6,7,green,0,657,us,0,0.749,62,mww,27,-31.4244,-71.6876,"Illapel, Chile",,Chile
7,2015-09-16,8,7,green,0,799,us,0,0.903,13,mww,28.41,-31.5622,-71.4262,"Illapel, Chile",South America,Chile
8.3,2015-09-16,9,8,orange,1,1960,us,0,0.684,19,mww,22.44,-31.5729,-71.6744,"Illapel, Chile",,Chile
6.7,2015-09-13,5,5,green,1,708,us,0,1.256,123,mww,10,24.913,-109.623,"Topolobampo, Mexico",,
6.5,2015-08-12,0,5,green,1,650,us,0,2.045,16,mww,6.43,-9.3293,157.877,"Gizo, Solomon Islands",,
6.6,2015-08-10,3,5,green,1,671,us,0,1.872,20,mww,22,-9.3438,158.053,"Malango, Solomon Islands",,
7,2015-07-27,9,7,green,1,762,us,0,6.278,12,mww,48,-2.6286,138.528,"Abepura, Indonesia",,Indonesia
6.9,2015-07-27,4,7,green,1,734,us,0,0.444,39,mww,29,52.376,-169.446,"Fox Islands, Aleutian Islands, Alaska",,
7,2015-07-18,8,6,green,1,759,us,0,5.205,22,mww,11,-10.4012,165.141,"Lata, Solomon Islands",,
6.5,2015-07-16,4,4,green,1,686,us,0,1.218,20,mww,20,13.8672,-58.5479,"Bathsheba, Barbados",,
6.7,2015-07-10,4,5,green,1,691,us,0,1.529,11,mww,12,-9.307,158.403,"Malango, Solomon Islands",,Solomon Islands
6.5,2015-06-23,3,4,green,0,652,us,0,2.277,11,mww,460,27.7375,139.725,"Bonin Islands, Japan region",,
7.8,2015-05-30,6,3,green,1,1151,us,0,1.675,12,mww,664,27.8386,140.493,"Bonin Islands, Japan region",,
6.8,2015-05-29,5,6,green,1,762,ak,0,0,0,mw,72.6,56.594,-156.43,"Ugashik, Alaska",,
6.8,2015-05-22,1,5,green,1,711,us,0,3.619,18,mww,10,-11.1093,163.215,"Kirakira, Solomon Islands",,
6.9,2015-05-22,1,4,green,1,732,us,0,4.024,22,mww,11.19,-11.0559,163.696,"Kirakira, Solomon Islands",,
6.8,2015-05-20,1,4,green,1,711,us,0,4.395,15,mww,11,-10.8759,164.169,"Lata, Solomon Islands",,
6.8,2015-05-12,8,6,green,1,831,us,0,1.422,8,mww,35,38.9056,142.032,"Ofunato, Japan",Asia,Japan
7.3,2015-05-12,8,7,orange,0,1563,us,0,0.677,11,mww,15,27.8087,86.0655,Nepal,Asia,Nepal
7.1,2015-05-07,1,6,green,1,776,us,0,3.835,11,mww,10,-7.2175,154.557,"Panguna, Papua New Guinea",,
7.5,2015-05-05,7,8,green,1,869,us,0,1.295,22,mww,55,-5.4624,151.875,"Kokopo, Papua New Guinea",,Papua New Guinea
6.8,2015-05-01,5,6,green,1,714,us,0,1.074,23,mww,44,-5.2005,151.777,"Kokopo, Papua New Guinea",,Papua New Guinea
6.7,2015-04-30,5,6,green,1,692,us,0,1.239,12,mww,31,-5.375,151.771,"Kokopo, Papua New Guinea",,Papua New Guinea
6.7,2015-04-26,7,7,yellow,0,1016,us,0,0.727,13,mww,22.91,27.7711,86.0173,"Kodari, Nepal",Asia,Nepal
6.6,2015-04-25,8,7,yellow,0,733,us,0,1.778,16,mww,10,28.2244,84.8216,"Bharatpur, Nepal",Asia,Nepal
7.8,2015-04-25,8,9,red,0,2820,us,0,1.857,12,mww,8.22,28.2305,84.7314,"Bharatpur, Nepal",Asia,Nepal
6.5,2015-04-17,0,5,green,1,650,us,0,3.702,42,mww,10,-15.8815,-178.6,"Alo, Wallis and Futuna",,
6.5,2015-03-30,2,5,green,1,650,us,0,4.629,36,mww,11,-15.4994,-173.029,"Hihifo, Tonga",,
7.5,2015-03-29,6,7,green,1,872,us,0,0.666,19,mww,41,-4.7294,152.562,"Kokopo, Papua New Guinea",,Papua New Guinea
7,2015-02-27,4,6,green,0,760,us,0,1.362,12,mww,552.06,-7.2968,122.535,"Maumere, Indonesia",,Indonesia
6.7,2015-02-16,5,5,green,1,714,us,0,1.925,20,mww,23,39.8558,142.881,"Miyako, Japan",,
6.7,2015-02-11,4,6,green,1,700,us,0,2.11,16,mww,223,-23.1125,-66.688,"El Aguilar, Argentina",South America,Argentina
6.8,2015-01-23,1,4,green,1,711,us,0,2.019,13,mww,219.96,-17.0309,168.52,"Port-Vila, Vanuatu",,Vanuatu
6.5,2015-01-07,1,4,green,1,650,us,0,4.318,61,mww,8,5.9045,-82.6576,"Punta de Burica, Panama",,
6.6,2014-12-08,7,6,green,1,709,us,0,2.485,43,mww,20,7.9401,-82.6865,"Punta de Burica, Panama",,Panama
6.6,2014-12-07,1,5,green,1,670,us,0,3.246,12,mww,23,-6.5108,154.46,"Panguna, Papua New Guinea",,
6.6,2014-12-02,1,3,green,0,670,us,0,2.6,9,mww,614,6.1572,123.126,"Sangay, Philippines",,Philippines
6.8,2014-11-26,6,5,green,1,713,us,0,1.421,19,mww,39,1.9604,126.575,"Ternate, Indonesia",,Indonesia
6.5,2014-11-21,5,5,green,1,652,us,0,1.549,9,mww,35,2.2999,127.056,"Tobelo, Indonesia",,Indonesia
6.7,2014-11-16,7,4,green,1,698,us,0,1.079,25,mww,22,-37.6478,179.662,"Gisborne, New Zealand",,
7.1,2014-11-15,4,6,green,1,779,us,0,1.397,18,mww,45,1.8929,126.522,"Ternate, Indonesia",,Indonesia
6.6,2014-11-07,2,6,green,1,671,us,0,3.557,13,mww,53.19,-5.9873,148.232,"Finschhafen, Papua New Guinea",,Papua New Guinea
7.1,2014-11-01,3,6,green,1,776,us,0,4.415,13,mww,434,-19.6903,-177.759,Fiji region,,
7.3,2014-10-14,8,6,yellow,1,982,us,0,1.078,18,mww,40,12.5262,-88.1225,"Intipucá, El Salvador",,
6.7,2014-09-17,5,5,green,1,724,us,0,0.46,11,mww,130,13.7641,144.429,"Piti Village, Guam",,
6.8,2014-08-24,6,6,green,1,741,us,0,4.107,18,mww,101,-14.598,-73.5714,"Aniso, Peru",South America,Peru
6.9,2014-08-03,0,4,green,1,732,us,0,6.393,12,mww,13,0.8295,146.169,Micronesia region,,
6.9,2014-07-21,0,6,green,1,732,us,0,3.934,15,mww,615.42,-19.8015,-178.4,Fiji region,,Fiji
6.5,2014-07-11,5,4,green,1,706,us,0,2.421,9,mww,20,37.0052,142.452,"Namie, Japan",,
6.9,2014-07-07,8,7,orange,1,1079,us,0,0.263,51,mww,53,14.724,-92.4614,"Puerto Madero, Mexico",,Mexico
6.5,2014-07-04,0,4,green,1,650,us,0,2.124,15,mww,20,-6.2304,152.807,"Kokopo, Papua New Guinea",,
6.7,2014-06-29,0,5,green,1,691,us,0,6.713,45,mww,18,-14.9831,-175.51,"Mata-Utu, Wallis and Futuna",,
6.9,2014-06-29,0,5,green,1,732,us,0,4.838,25,mww,8,-55.4703,-28.3669,South Sandwich Islands region,,
7.9,2014-06-23,6,8,green,1,963,us,0,0.133,22,mww,109,51.8486,178.735,"Rat Islands, Aleutian Islands, Alaska",North America,United States of America
6.7,2014-06-23,0,5,green,0,691,us,0,0.748,43,mwc,26.59,-29.9414,-177.607,"Kermadec Islands, New Zealand",,
6.5,2014-06-23,0,5,green,0,650,us,0,0.778,30,mwc,10,-29.9379,-177.516,"Kermadec Islands, New Zealand",,
6.9,2014-06-23,0,5,green,1,732,us,0,0.751,35,mww,20,-29.9772,-177.725,"Kermadec Islands, New Zealand",,
6.9,2014-05-24,9,7,green,0,951,us,0,0.402,25,mww,6.43,40.2893,25.3889,"Kamariótissa, Greece",Europe,Greece
6.5,2014-05-13,7,5,green,1,694,us,0,3.121,33,mww,10,7.2096,-82.3045,"Punta de Burica, Panama",,
6.6,2014-05-01,0,5,green,1,670,us,0,3.34,10,mww,106,-21.4542,170.355,"Isangel, Vanuatu",,
6.5,2014-04-24,4,6,green,1,838,us,0,0,0,mww,10,49.6388,-127.732,"Vernon, Canada",,
7.5,2014-04-19,0,6,green,1,865,us,0,3.82,16,mww,43.37,-6.7547,155.024,"Panguna, Papua New Guinea",,
6.6,2014-04-19,0,6,green,1,670,us,0,3.803,11,mww,29,-6.6558,155.087,"Panguna, Papua New Guinea",,Papua New Guinea
